...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27
2019,10,14,0,0,0,0,0,0,0,0,0,0,0.2,0,6.8,0.2,1.8,23.4,8.4,5.8,6.4,2.4,0.8,0.2,0,0.2
2019,10,15,0,0,0,0.2,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,16,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
2019,10,19,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,23.4,0.6,0.8,6.2,5.4,7.6,3.4,0.2,0,0.2
2019,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,23,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.4,2,11.2,2.8,0.2,0,0
2019,10,25,0,0,0,0,0,0,0,0.2,0,0,0,0,0,12.6,3.4,3,0.4,0,1.4,14.2,9.6,1.8,0,0.2
2019,10,26,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0.6,1.4,1,0.2,0,0,0,0,0,0
2019,10,27,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,10,28,0,0,0,0,0,0,0,1.8,1.6,0,0,0,0,0,2.2000000000000002,0,0,0,0,0,0,0,0,0.2
2019,10,29,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
2019,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.6,0,0.4,0.4,0.6,0,0,0,0,0
2019,10,31,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0.4,0,0,0,0,0
2019,11,1,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2019,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0
2019,11,3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,4,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,6,0,0,0,0,0,0,0,2,0.6,0.6,0.4,0.6,1.6,1.6,0,0.4,0,0,0,0,0,0,0,0
2019,11,7,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,1.4,1.4,0,0,0,0,0,0,0
2019,11,8,0,0,0,0.8,0.2,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,9,0,0.4,0.8,0.4,0.8,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,11,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
2019,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,19,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.4,0.6,0.2,0,0,0,0,0,0,0,0
2019,11,20,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,22,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,23,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,24,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0,0,0,0.2,0,0
2019,11,25,0,0.4,0,0,0.8,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,11,27,0.2,0.4,0.8,0.6,0,1.6,2.6,0.8,0.4,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.8
